Longitude,Latitude,Altitude
8.5522629907101,48.26321448744435,0
8.552258376763195,48.25989643569763,0
8.553128098300105,48.25368698104617,0
8.558522604953403,48.25027521335589,0
8.561505433168408,48.25019772319624,0
8.564563501824072,48.25381918640282,0
8.564232916284588,48.25828634025782,0
8.559161166027341,48.26434588502315,0
8.559146231551225,48.26700202858952,0
8.554157230908018,48.26591884900093,0
8.554485660548242,48.27367261632118,0
8.548681751883251,48.27471567553113,0
8.547827630360242,48.27003625407925,0
8.5522629907101,48.26321448744435,0
